% Model,model_final_mb.mph
% Version,COMSOL 6.1.0.282
% Date,"Jun 5 2023, 03:13"
% Table,SigmaExt-96 - Global Evaluation 1
% r0 (nm),lambda0 (nm),Extinction cross section (m^2)
96,600,3.5922910959038095E-13
96,605,3.88580973417025E-13
96,610,4.1906788044981377E-13
96,615,4.504313484470359E-13
96,619.9999999999999,4.816730186015226E-13
96,625,5.121802128947204E-13
96,629.9999999999999,5.413553220065295E-13
96,635,5.681564198229048E-13
96,639.9999999999999,5.913620207254534E-13
96,645,6.09601078479469E-13
96,650,6.213964098075962E-13
96,655,6.252635084850413E-13
96,660,6.197266884760994E-13
96,665,6.027913203765528E-13
96,670,5.755815200656539E-13
96,674.9999999999999,5.387943825473182E-13
96,680,4.940482879504568E-13
96,684.9999999999999,4.4378333220336055E-13
96,690,3.909752864375332E-13
96,694.9999999999999,3.3872282169730133E-13
96,700,2.89839150946225E-13
96,704.9999999999999,2.465504570890251E-13
96,710,2.1043490959818395E-13
96,715,1.8210639822069029E-13
96,720,1.617435686997213E-13
96,725,1.4915103839807896E-13
96,729.9999999999999,1.4392384736712446E-13
96,735,1.4557788372679053E-13
96,739.9999999999999,1.5363812453070697E-13
96,745,1.6769476478743607E-13
96,749.9999999999999,1.874451462947913E-13
96,755,2.1275215823620008E-13
96,759.9999999999999,2.437595965388706E-13
96,765,2.8128730051652437E-13
96,770,3.275240703033172E-13
96,775,3.869596654715453E-13
96,780,4.626166532633369E-13
96,784.9999999999999,5.268892792404504E-13
96,790,5.206185691339409E-13
96,794.9999999999999,4.794150695200337E-13
96,800,4.504536091242883E-13
96,804.9999999999999,4.32928452004988E-13
96,810,4.1930935185344067E-13
96,814.9999999999999,4.05672031315831E-13
96,820,3.90620932829562E-13
96,825,3.739922336050343E-13
96,830,3.561069445760397E-13
96,835,3.3745731790056076E-13
96,839.9999999999999,3.1854074594727373E-13
96,845,2.997786765184178E-13
96,849.9999999999999,2.814994816441093E-13
96,855,2.6393296357146724E-13
96,859.9999999999999,2.4722914299720143E-13
96,865,2.314716643079657E-13
96,869.9999999999999,2.1669616172214175E-13
96,875,2.0290067318171054E-13
96,879.9999999999999,1.900610136134416E-13
96,885,1.7813546846179654E-13
96,890,1.6707420065901878E-13
96,894.9999999999999,1.5681449403527354E-13
96,900,1.4730638156769931E-13
96,904.9999999999999,1.3849897632484424E-13
96,910,1.3033771356249827E-13
96,914.9999999999999,1.2277129108821946E-13
96,920,1.1574954641843094E-13
96,924.9999999999999,1.0922949438208947E-13
96,930,1.0316861767166498E-13
96,934.9999999999999,9.753019902066964E-14
96,940,9.227882000210927E-14
96,945,8.738358670431531E-14
96,949.9999999999999,8.281569921384953E-14
96,954.9999999999999,7.854927259594478E-14
96,960,7.4560586473253E-14
96,965,7.082806199992625E-14
96,969.9999999999999,6.733221268564012E-14
96,974.9999999999999,6.405518846167211E-14
96,980,6.09805248774775E-14
96,985,5.809324999122589E-14
96,989.9999999999999,5.5378310926355046E-14
96,994.9999999999999,5.282453816302636E-14
96,1000,5.0421588947178914E-14
96,1005,4.815857113668781E-14
96,1010,4.6025933204796654E-14
96,1014.9999999999999,4.401415046824172E-14
96,1019.9999999999999,4.211613690271181E-14
96,1025,4.032368940348508E-14
96,1030,3.8629866842321164E-14
96,1035,3.702875603516057E-14
96,1039.9999999999998,3.551404553795751E-14
96,1045,3.408010775846606E-14
96,1050,3.272185116976011E-14
96,1055,3.143476082970071E-14
96,1060,3.0214318963072553E-14
96,1064.9999999999998,2.90561965701773E-14
96,1070,2.7956764221242825E-14
96,1075,2.6912543365199924E-14
96,1080,2.591995376455346E-14
96,1084.9999999999998,2.4975977926190873E-14
96,1090,2.4077665575953375E-14
96,1095,2.3221769220425794E-14
96,1100,2.24067663224908E-14
